Frequency [Hz], Amplitude [dB], Phase [deg]
34891.012134067736, -0.052732, -4.553482
36969.12707195032, -0.055342, -4.83031
39171.014908092606, -0.057856, -5.12061
41504.047578504724, -0.059609, -5.435328
43976.036093027215, -0.062517, -5.765697
46595.25668664687, -0.06455, -6.109714
49370.478528390035, -0.066164, -6.480702
52310.993080562585, -0.066993, -6.859668
55426.645206631074, -0.071137, -7.284158
58727.86613189489, -0.071936, -7.711102
62225.708367302315, -0.073696, -8.17743
65931.88271333542, -0.077015, -8.664866
69858.79746785249, -0.078582, -9.181455
74019.59996915652, -0.080783, -9.725704
78428.22061337682, -0.081913, -10.292658
83099.41949353387, -0.085287, -10.907584
88048.83581643464, -0.088434, -11.557486
93293.04026284696, -0.090029, -12.243997
98849.59046625586, -0.094308, -12.972893
104737.08979594508, -0.097955, -13.756192
110975.2496412072, -0.102171, -14.576792
117584.95540521582, -0.106821, -15.430264
124588.33642950082, -0.108515, -16.358528
132008.84008314196, -0.114463, -17.320074
139871.31026472387, -0.118741, -18.362499
148202.070579886, -0.123371, -19.438528
157029.01247293776, -0.132109, -20.609972
166381.6886076131, -0.139526, -21.823231
176291.4118095948, -0.143609, -23.12956
186791.35990207846, -0.150312, -24.532736
197916.68678535573, -0.163419, -26.024336
209704.6401323235, -0.182793, -27.558229
222194.6860939524, -0.203587, -29.158358
235428.64143224203, -0.225435, -30.842651
249450.81352303165, -0.250249, -32.652348
264308.1486974108, -0.278124, -34.571106
280050.3894183631, -0.306483, -36.579487
296730.24081888725, -0.343899, -38.72224
314403.54715915, -0.384482, -40.981941
333129.4787934677, -0.431215, -43.371304
352970.73027306504, -0.483837, -45.903801
373993.73024788016, -0.547494, -48.573997
396268.86387014785, -0.612775, -51.389778
419870.70844439144, -0.687508, -54.361149
444878.28311275854, -0.769551, -57.487289
471375.3134116729, -0.86314, -60.827877
499450.511585514, -0.95819, -64.280083
529197.8735958447, -1.072018, -67.933403
560716.9938205458, -1.189974, -71.767204
594113.3984965039, -1.333932, -75.805557
629498.8990221887, -1.482952, -80.097313
666991.9663030129, -1.643286, -84.515877
706718.1273927492, -1.824295, -89.225914
748810.385759003, -2.014249, -94.134193
793409.6665797492, -2.245724, -99.242828
840665.2885618333, -2.474396, -104.585403
890735.463861044, -2.726837, -110.230881
943787.8277775391, -3.000415, -116.100693
