Frequency [Hz], Amplitude [dB], Phase [deg]
69858.79746785249, -56.452732, 12.261856
74019.59996915652, -56.166531, 10.527692
78428.22061337682, -56.112789, 8.781656
83099.41949353387, -55.891052, 7.253456
88048.83581643464, -55.8325, 6.094672
93293.04026284696, -55.749287, 3.925023
98849.59046625586, -55.344849, 2.510033
104737.08979594508, -54.950794, 0.461188
110975.2496412072, -54.618954, -2.577326
117584.95540521582, -54.91996, -5.132627
124588.33642950082, -54.667416, -5.544308
132008.84008314196, -54.719437, -6.815313
139871.31026472387, -54.362255, -8.934622
148202.070579886, -54.200039, -11.89737
157029.01247293776, -53.824535, -15.116438
166381.6886076131, -53.505436, -18.675978
176291.4118095948, -53.111744, -22.821383
186791.35990207846, -52.476429, -31.979076
197916.68678535573, -53.738907, -53.026711
209704.6401323235, -59.274513, -70.548584
222194.6860939524, -63.471867, 2.629172
235428.64143224203, -58.448753, 17.640999
249450.81352303165, -55.473274, 8.758543
264308.1486974108, -53.293121, 0.930036
280050.3894183631, -51.909172, -6.607013
296730.24081888725, -50.768829, -13.106956
314403.54715915, -49.936783, -18.297913
333129.4787934677, -49.375015, -23.211994
352970.73027306504, -48.79966, -28.226894
373993.73024788016, -48.240147, -32.824905
396268.86387014785, -47.563473, -37.399521
419870.70844439144, -46.813087, -42.084778
444878.28311275854, -46.147995, -46.545185
471375.3134116729, -45.485188, -51.202477
499450.511585514, -44.933655, -56.1745
529197.8735958447, -44.288368, -61.241253
560716.9938205458, -43.600277, -66.241112
594113.3984965039, -42.888264, -71.16655
629498.8990221887, -42.248779, -76.451385
666991.9663030129, -41.612152, -82.019577
706718.1273927492, -40.912697, -87.633858
748810.385759003, -40.322842, -93.152557
793409.6665797492, -39.656429, -98.751831
840665.2885618333, -38.940937, -104.698532
890735.463861044, -38.299984, -110.258743
943787.8277775391, -37.57214, -116.24662
1000000, -36.867859, -122.244362
