Frequency,Amplitude,Phase
176291.4118095948, -0.263286, -27.684536
186791.35990207846, -0.292738, -29.3871
197916.68678535573, -0.327709, -31.137964
209704.6401323235, -0.35702, -32.933838
222194.6860939524, -0.378845, -34.854229
235428.64143224203, -0.408206, -36.878849
249450.81352303165, -0.45188, -39.031521
264308.1486974108, -0.497333, -41.334141
280050.3894183631, -0.545447, -43.73085
296730.24081888725, -0.601988, -46.306721
314403.54715915, -0.664654, -49.000313
333129.4787934677, -0.734868, -51.857395
352970.73027306504, -0.808591, -54.887653
373993.73024788016, -0.897807, -58.083408
396268.86387014785, -0.995968, -61.44492
419870.70844439144, -1.105446, -64.995399
444878.28311275854, -1.227261, -68.740021
471375.3134116729, -1.360468, -72.696938
499450.511585514, -1.518659, -76.779938
529197.8735958447, -1.684915, -81.131729
560716.9938205458, -1.879103, -85.657631
594113.3984965039, -2.083834, -90.472679
629498.8990221887, -2.313311, -95.405602
666991.9663030129, -2.567157, -100.643532
706718.1273927492, -2.853435, -106.024513
748810.385759003, -3.153305, -111.665764
793409.6665797492, -3.490314, -117.455582
840665.2885618333, -3.860995, -123.50605
890735.463861044, -4.259855, -129.788498
943787.8277775391, -4.682559, -136.205032
1000000, -5.144581, -142.852768
